"method_id","canonical_id","outcome","estimand","mediator","exposures","controls","fixed_effects","inference","bootstrap_method","reps","seed","entrypoint","claim_boundary"
"method-report-v1","report-v1","ln_yield and annual SM outcomes","Baseline SR-associated hazard buffering and diagnostic attenuation","GLEAM surface or root-zone SM in selected steps","SPEI drought; wetness; HDD heat; SR interactions","Irrigation; precipitation; ET0; aridity; GDD; soil controls by step","Primarily grid FE plus year FE","Primarily grid-clustered standard errors; DML and sensitivity modules vary","Varies by included historical step","","42","local://output/reports/complete_report.Rmd","Historical synthesis only; constituent scripts do not establish one unified causal estimand"
"method-report-v2","report-v2","ln_yield and annual SM outcomes","report-v1 estimands plus robustness sensitivity","GLEAM SM in selected steps","Drought; wetness; heat; SR interactions","Baseline and extended climate or soil controls","Grid FE plus year FE with alternative robustness structures","Grid-clustered inference plus LOPO, leave-year-out, Oster and winsorization diagnostics","Varies by included historical step","","42","local://output/reports/complete_report_v2.Rmd","Robustness expansion does not convert conditional associations into causal effects"
"method-report-v3","report-v3","ln_yield and SM outcomes","Historical a-path, attenuation and conditional-effect diagnostics","Multiple annual SM measures","Drought; heat; SR by hazard interactions","Climate, irrigation and soil controls by module","Grid FE plus year FE; selected alternative FE","Clustered standard errors with historical Sobel or bootstrap diagnostics","Historical mixed procedures","","42","local://output/reports/complete_report_v3.Rmd","Historical mediation terminology is superseded; retain only as reconstructed report logic"
"method-report-v4","report-v4","ln_yield","Drought by heat superadditivity and SR-associated change in the compound-damage slope","SM is a state or control in selected diagnostics","Drought; wetness; HDD30/32/35; D by H; SR by D by H","Irrigation; precipitation; ET0; aridity; GDD; soil controls","Grid FE plus year FE; region-year or province-year in robustness","Grid or two-way clustered standard errors depending on specification","Selected wild-cluster checks in boundary scripts","","42","local://output/reports/complete_report_v4.Rmd","Compound-stress conditional association; not a causal adoption effect"
"method-report-v5","report-v5","ln_yield on locked Phase 0 sample","Compound-damage and support-bounded SR interaction margins","SM state in selected models","Drought; heat; compound exposure; SR interactions","Climate, irrigation, aridity and soil controls","Grid/year FE and selected county/year FE","Clustered standard errors at the absorbed spatial unit","Selected bootstrap and leave-out diagnostics","","42","local://output/reports/complete_report_v5.Rmd","Historical locked-sample framework; D-H corner anomalies remain a limitation"
"method-report-v6.1","report-v6.1","ln_yield and SM state outcomes","State dependence, conditioning-set sensitivity and algebraic two-equation components","GLEAM surface or root-zone SM and state variables","Drought; wetness; heat; SR interactions; irrigation interactions","Climate, irrigation, aridity, soil and Mundlak controls by chain","Grid/year or county/year FE by chain","Clustered standard errors at grid or county level","Selected county-cluster bootstrap in historical scripts","","42","local://output/reports/complete_report_v6.Rmd","Latest report-line framework only; not the current G185 truth source"
"method-data-v3-build","data-v3-expanded","V3 physical data views","Deterministic construction of climate-window and state-variable panel views","not_applicable","Phenology windows; temperature; precipitation; SM; ET0; VPD; SPEI; compound metrics","Source QA rules and grid_id-year key checks","not_applicable","Schema, key, range and monotonicity assertions","none","0","","repo://data_build/scripts/python/run_all.py","Data transformation provenance only; no empirical claim"
method-analysis-v2,analysis-v2,ln_yield and six SM source-depth outcomes,"Window-specific SR-associated buffering, stage responses and interaction-grid diagnostics",Annual SM measures in mediation or attenuation models,SPEI drought/wetness; HDD heat; SR by hazard; compound interactions,Window precipitation; ET0; GDD; irrigation; aridity; soil controls,Grid FE plus year FE,Grid-clustered standard errors,Selected historical bootstrap modules,500,42,repo://scripts/stata/v2_step1_baseline_fullseason.do,Uses the pre-SPEI-fix input; results cannot be treated as corrected V3 evidence
method-analysis-v3,analysis-v3,ln_yield and six SM source-depth outcomes,"Corrected-SPEI rerun of baseline, stage, interaction and two-equation diagnostics",Multiple SM measures,Corrected window SPEI drought/wetness; HDD heat; SR interactions,Window precipitation; ET0; GDD; irrigation; aridity; soil controls,Grid FE plus year FE,Grid-clustered standard errors,Selected cluster bootstrap modules,1000,42,repo://scripts/stata/v3_step1_baseline.do,Historical corrected rerun; module-specific samples and estimands must remain separate
"method-v3prhd","analysis-v3prhd","ln_yield","SR-associated change in drought, heat, compound and precipitation hot-dry slopes across six windows","none","D; HDD32; D by H; HotDryPr; SR interactions","Window precipitation; ET0; GDD; irrigation; selected wetness terms","Grid FE plus year FE","Grid-clustered standard errors","none","0","42","repo://scripts/stata/v3prhd_step1_regressions.do","HotDryPr means Tmax at least 32 C and precipitation below 1 mm; it is not SM-defined hot-dry"
"method-v3prhdsm","analysis-v3prhdsm","GLEAM, SWSM and ERA5-Land SM at surface or root depth","Cross-source SM response to the same drought, heat and HotDryPr interaction structures","not_applicable","D; HDD32; HotDryPr; SR interactions","Window precipitation; ET0; GDD; irrigation","Grid FE plus year FE","Grid-clustered standard errors","none","0","42","repo://scripts/stata/v3prhdsm_step1_regressions.do","Cross-source directional diagnostic; not evidence that one latent SM outcome is measured without error"
method-v3decomp,analysis-v3decomp,ln_yield with paired SM equation,Algebraic direct and SM-associated components on a strict common sample,gleam_sms_mean,Drought; heat; wetness; SR by hazard interactions,Precipitation; ET0; GDD; irrigation; aridity,Grid FE plus year FE,Grid-clustered standard errors,Cluster bootstrap in decomposition step,100 dry-run;1000 final,42,repo://scripts/stata/v3decomp_step1_equations.do,Components are associational algebra and not identified natural direct or indirect effects
"method-v3sub","analysis-v3sub","ln_yield and SM response outcomes","Sample-boundary heterogeneity by irrigation group and maize region","SM in response specifications","Drought; heat; precipitation hot-dry; SR interactions","Window climate controls; selected specifications omit wetness","Grid FE plus year FE within subgroup","Grid-clustered standard errors","none","0","42","repo://scripts/stata/v3sub_run_all.do","Subgroup patterns do not redefine the full-sample estimand or imply causal targeting"
method-v3med-model8,analysis-v3med-model8,SM mediator equation and ln_yield outcome equation,"Conditional two-equation hazard components at SR P25, P50 and P75",Six SM source-depth measures,Drought or heat; SR; SR by hazard,"Reduced or full climate, irrigation and aridity controls",Grid FE plus year FE; lower-level FE only as diagnostics,Clustered standard errors at the FE spatial unit,Cluster bootstrap in dedicated steps,500,42,repo://scripts/stata/v3med_step2_drought_model8.do,Historical moderated-mediation label is retained only as a code name; no causal mediation identification
"method-v3proxy","analysis-v3proxy","ln_yield and SM equations","Sensitivity of drought and SM terms to proxy, cut, HotDryPr and control competition","Six SM source-depth measures","Two drought proxies; three cuts; HotDryPr on or off; heat","Reduced or full window-specific controls","Grid FE plus year FE","Grid-clustered standard errors","none","0","42","repo://scripts/stata/v3proxy_step1_modelsets.do","Factorial diagnostic intended to expose proxy sensitivity rather than select significance"
"method-v3bpath","analysis-v3bpath","ln_yield","Stability of the SM coefficient and SR by drought coefficient under timing and specification audits","Six aligned SM source-depth measures","Window drought; heat; wetness; SR by drought","Control ladders, nonlinear terms and proxy competition sets","Grid FE plus year FE","Grid-clustered standard errors","none","0","42","repo://scripts/stata/v3bpath_run_all.do","An audit of conditional coefficients; not an identified causal b-path"
"method-v4smstate","mechanism-v4smstate","ln_yield plus state-variable equations","Comparison of raw SM and threshold-state representations","Raw SM; pooled-local dry/wet states; maize-zone dry/wet states","Drought; heat; wetness; SR by drought","Irrigation; GDD; window controls","Grid FE plus year FE","Grid-clustered standard errors","none","0","42","repo://scripts/stata/v4smstate_run_all.do","Exploratory representation audit; state thresholds are not treatments"
method-v5drymed,mechanism-v5drymed,Dry mediator equation and ln_yield outcome equation,Drought-only conditional two-equation components across dry metric families,drydays; dryshare; drydeficit,Drought; wetness; heat; SR by drought,Precipitation; ET0; GDD; irrigation; aridity,Grid FE plus year FE,Grid-clustered standard errors,Cluster bootstrap in dedicated step,500 default,42,repo://scripts/stata/v5drymed_run_all.do,Exploratory drought-only family; do not interpret coefficients as causal mediation effects
method-v6gleambl,mechanism-v6gleambl,GLEAM dry-mediator equation and ln_yield outcome equation,Four-window baseline-local two-equation components with paired wet controls,GLEAM surface and root-zone dry or wet metrics,Drought plus heat or precipitation hot-dry variants; SR interactions,Window wetness; precipitation; ET0; GDD; irrigation; aridity,Grid FE plus year FE,Grid-clustered standard errors,Cluster bootstrap in dedicated step,500 default,42,repo://scripts/stata/v6gleambl_run_all.do,Historical precursor; heat and hot-dry variants must not be pooled as one estimand
"method-ggcp10-point-build","area-ggcp10-point-sample","Point-sampled GGCP10 harvested area panel","Coordinate point sampling of native GGCP10 raster values","not_applicable","GGCP10 maize harvested-area rasters for 2016-2019","Coordinate and year matching checks","not_applicable","Data merge and coverage diagnostics","none","0","","repo://scripts/python/ggcp10_build_harvarea_branch.py","Data-construction comparator; point values do not preserve area totals"
"method-ggcp10-aggregate-build","area-ggcp10-aggregated","Aggregated harvested area and area-weighted yield panel","Area-preserving overlap aggregation from native 1/12-degree raster to 0.1-degree grid","not_applicable","GGCP10 maize harvested-area rasters for 2016-2019","Grid overlap, area conservation and merge assertions","not_applicable","Deterministic diagnostics and conservation checks","none","0","","repo://scripts/python/ggcp10_build_harvarea_agg_branch.py","Data-construction method; its area-weighted yield definition differs from V1"
"method-ggcp10-baseline-suite","analysis-ggcp10-baseline-suite","SM mediator and ln_yield equations","Hazard-specific two-equation baseline coefficients for raw, dry-state and wet-state SM","Raw SM; dry state; wet state","Drought; heat; precipitation hot-dry; SR by hazard","Companion hazards; wetness; precipitation; ET0; GDD; irrigation; aridity","Grid FE plus year FE","Grid-clustered standard errors","none","0","42","repo://scripts/stata/ggcp10_baseline_suite_run_all.do","Baseline coefficient suite only; not identified causal mediation"
"method-ggcp10-mediation-ext","ggcp10-mediation-ext","SM mediator and ln_yield equations","Baseline, conditional two-equation components and heterogeneity across three extension branches","GLEAM mean; wet-state mirror; dry-state top-three","Drought; heat; precipitation hot-dry; SR by hazard","Companion hazards and climate or irrigation controls","Grid FE plus year FE; subgroup FE models","Grid-clustered standard errors","Historical branch-specific cluster bootstrap; mean branch initially 80 reps","80","42","repo://scripts/stata/ggcp10_mean_ext_run_all.do","Reps differ across branch outputs; components remain associational"
"method-scale-region-first","scale-search-region-first","Region-hazard scaled buffering score","Ranking of candidate sample-rule masks by region-first evidence and support","gleam_smrz_mean as yield-equation control in direct models","Drought; heat; precipitation hot-dry; SR by hazard","Companion hazards; precipitation; ET0; GDD; irrigation; aridity","Grid FE plus year FE in cluster validation; pooled region-year FE in Wald checks","Initial OLS scan followed by grid-clustered covariance for 208 high-score candidates","none","0","42","repo://scripts/python/region_first_story_search.py","Exploratory transparent selection; ranking is not preregistration or proof of unique optimality"
"method-scale-g185-freeze","scale-g185","Binary G185 analytical-sample mask","Exact rule-vector application and count invariance","not_applicable","ggcp10_maize_frac and nine candidate quality rules","Rule vector, N equals 46299 and grid count equals 13236 assertions","not_applicable","Deterministic sample-count assertions","none","0","42","repo://scripts/python/expanded_scale_story_search.py","Changing any rule, row count or grid count requires a new scale ID"
"method-g185-draft","g185-draft-bootstrap-v1","ln_yield and gleam_smrz_mean_raw","Hazard-specific algebraic IE, DE, TE; regional scaled buffer; irrigation and phenology margins","gleam_smrz_mean_raw","D_full_raw; hdd_ge32_raw; HotDryPr_full_raw; SR interactions","Companion hazards; precipitation; ET0; GDD; irrigation; aridity","Grid FE plus year FE; separate region models","Grid-cluster covariance and absorbed-design uncertainty","Grid-level Rademacher wild-score bootstrap-linearized intervals","999","42","repo://scripts/python/build_g185_draft_bootstrap_v1.py","Initial pack; later regional DE values were incorrectly narrated as TE and are superseded"
"method-g185-upgrade","g185-method-upgrade","ln_yield_raw","Fixed-effect damage-avoidance margins with ML heterogeneity concordance checks","gleam_smrz_mean_raw in relevant FE equations","Drought; heat; hot-dry; SR interactions","Companion hazards; precipitation; ET0; GDD; irrigation; aridity","Grid FE plus year FE for substantive FE results","Grid-cluster FE inference; econml, DoubleML and grf are appendix checks","Reuses draft within-transformed wild-score intervals","999","42","repo://scripts/python/build_g185_method_upgrade_report.py","ML does not validate an adoption effect; FE tables are read from the draft-bootstrap run"
"method-g185-response-surface-v3","g185-response-surface-v3","ln_yield_raw","Region-specific SR-associated changes over a restricted-cubic drought-heat response surface","SM included only in designated sensitivity models","Restricted-cubic drought and heat surface; region by surface; SR by surface","C0 or C1 climate controls; optional SM control","Grid FE plus province-by-year FE in the primary model","Synchronous 2-degree spatial-block inference for region contrasts","Rademacher spatial-block wild-score linearized draws","1999","20260620","repo://scripts/python/run_all_g185_v3.py","Different estimand from old-method IE-DE-TE; reviewed non-support and sensitivity findings must be retained"
"method-g185-old-corrected","g185-old-method-corrected","ln_yield_raw paired with gleam_smrz_mean_raw equation","IE=(a1+a3s)b, DE=c1+c3s and TE=IE+DE at regional SR and hazard quantiles","gleam_smrz_mean_raw","D_full_raw; hdd_ge32_raw; HotDryPr_full_raw; SR by hazard","Companion hazards; precipitation; ET0; GDD; irrigation; aridity","Grid FE plus year FE within region","Absorbed-design grid-cluster inference","Grid-level Rademacher wild-score bootstrap-linearized intervals","999","42","repo://scripts/python/export_g185_old_method_region_tiede_redraw.py","Algebraic two-equation components only; corrected TE must replace the former DE-as-TE narrative"
"method-g185-irrigation-boundary","g185-region-irrigation-boundary","ln_yield_raw","Region-specific change in the SR-associated hazard slope over continuous irrigation support","none","Hazard; SR; irrigation; all two-way terms; SR by hazard by irrigation","Companion hazards; precipitation; ET0; GDD; aridity","Grid FE plus year FE within region","Absorbed-design grid-cluster inference with support diagnostics","Grid-level Rademacher wild-score bootstrap-linearized intervals","999","42","repo://scripts/python/export_g185_region_specific_irrigation_boundary.py","Separate estimand from IE-DE-TE; report intervals crossing zero without directional overstatement"
